code,name,street,lat,lon,change_type,change_reason
07011,Bef Sophia Rd,Selegie Rd,1.30099699058522,103.8498101874305,new,New bus stop code
07021,Selegie Ctr,Selegie Rd,1.30324521574524,103.84995776766847,new,New bus stop code
07031,Tekka Ctr,S'goon Rd,1.30572083298412,103.85120583303191,new,New bus stop code
07111,Broadway Hotel,S'goon Rd,1.30879366465919,103.8531751994068,new,New bus stop code
07211,Aft Farrer Pk Stn Exit G,S'goon Rd,1.31313747728456,103.8563561439714,new,New bus stop code
07221,Sri Vadapathira K Tp,S'goon Rd,1.314966,103.857819,new,New bus stop code
07231,Bef Tai Hoe Hotel,Kitchener Rd,1.309658889,103.8573711,new,New bus stop code
07241,Bef S'Goon Rd,Lavender St,1.31557142083242,103.85900616698896,new,New bus stop code
07249,Aft Kempas Rd,Lavender St,1.315368056,103.8594669,new,New bus stop code
07319,Aft Allenby Rd,Jln Besar,1.31038833299803,103.85870666696984,new,New bus stop code
07329,Hoa Nam Bldg,Jln Besar,1.31284472583438,103.85989088288474,new,New bus stop code
07331,Aft King George's Ave,Kitchener Rd,1.30824994545395,103.8589096071918,new,New bus stop code
07351,ARC 380,Lavender St,1.31351833300073,103.86054527803076,new,New bus stop code
07359,OPP ARC 380,Lavender St,1.31368253065979,103.86071451807119,new,New bus stop code
07361,Bef Kallang Bahru,Lavender St,1.31167636068313,103.86189483728585,new,New bus stop code
07369,Aft Kallang Bahru,Lavender St,1.31140805601851,103.86237888899062,new,New bus stop code
07371,Aft Kallang Rd,Lavender St,1.30950750000455,103.86350138902452,new,New bus stop code
07379,Aperia/Bef Kallang Rd,Lavender St,1.31017336740849,103.86338225534827,new,New bus stop code
07419,Opp Veerasamy Rd,Jln Besar,1.30653024120879,103.8561630249311,new,New bus stop code
07517,IBIS S'PORE ON BENCOOLEN,Bencoolen St,1.30145216158073,103.85247781934106,new,New bus stop code
07518,OPP NAFA CAMPUS 3,Bencoolen St,1.30095828368506,103.85211175034802,new,New bus stop code
07529,JLN BESAR STN EXIT A,Jln Besar,1.30431906266143,103.85501564257024,new,New bus stop code
07531,Rochor Stn,Rochor Canal Rd,1.30365644370093,103.8525732326128,new,New bus stop code
07539,Bef Rochor Stn Exit B,Sungei Rd,1.30461300741211,103.8520009720951,new,New bus stop code
07551,Fu Lu Shou Cplx,Rochor Rd,1.30171975809706,103.8546132267025,new,New bus stop code
07561,Bef Waterloo St,Middle Rd,1.29945446471936,103.85267983857253,new,New bus stop code
07569,Aft Waterloo St,Middle Rd,1.29949531348401,103.85301395376233,new,New bus stop code
07571,SUNSHINE PLAZA,Middle Rd,1.30063444632288,103.85114009314601,new,New bus stop code
07589,Ch of Our Lady of Lourdes,Ophir Rd,1.30320609782822,103.85549999983388,new,New bus stop code
08011,Opp Haw Par Glass Twr,Clemenceau Ave,1.29706985017362,103.84361028672502,new,New bus stop code
08019,Aft Haw Par Glass Twr,Clemenceau Ave,1.29624633745957,103.84407009228418,new,New bus stop code
08031,Dhoby Ghaut Stn Exit B,Penang Rd,1.29831153783592,103.8452569595532,new,New bus stop code
08041,YMCA,Orchard Rd,1.29811014243867,103.84780636909545,new,New bus stop code
08057,Dhoby Ghaut Stn,Orchard Rd,1.29930997279734,103.84529021429745,new,New bus stop code
