code,name,street,lat,lon,code_normalized,corrected_name,name_source
02141,Suntec Twr Two,Temasek Blvd,1.29576571603037,103.85933814632858,02141,Suntec Twr Two,LTA
02149,Suntec Twr Three,Temasek Blvd,1.29560459817725,103.85955533029184,02149,Suntec Twr Three,LTA
02151,Suntec Convention Ctr,Temasek Blvd,1.29317776320814,103.85784623004031,02151,Suntec Convention Ctr,LTA
02159,Opp Suntec Convention Ctr,Temasek Blvd,1.29360811227161,103.85840672828635,02159,Opp Suntec Convention Ctr,LTA
02161,Aft Promenade Stn Exit C,Temasek Ave,1.29268553508737,103.86093156188176,02161,Aft Promenade Stn Exit C,LTA
02169,Promenade Stn Exit B,Temasek Ave,1.29333836780589,103.86070849052753,02169,Promenade Stn Exit B,LTA
02171,Opp The Ritz-Carlton,Temasek Ave,1.29070000003898,103.86092194446034,02171,Opp The Ritz-Carlton,LTA
02181,Supreme Ct,Parliament Pl,1.28947444402148,103.85098166700017,02181,Supreme Ct,LTA
03011,Fullerton Sq,Fullerton Rd,1.28561840945474,103.85342223246427,03011,Fullerton Sq,LTA
03019,OUE Bayfront,Collyer Quay,1.284245000013,103.85310805599599,03019,OUE Bayfront,LTA
03021,Prudential Twr,Cecil St,1.28255524603003,103.84998903789258,03021,Prudential Twr,LTA
03031,Raffles Pl Stn Exit F,Robinson Rd,1.28207492207952,103.85086074925066,03031,Raffles Pl Stn Exit F,LTA
03041,Telok Ayer Stn Exit A,Cross St,1.28179509394707,103.84893207391676,03041,Telok Ayer Stn Exit A,LTA
03059,One Raffles Quay,Raffles Quay,1.281111,103.851461,03059,One Raffles Quay,LTA
03071,80 Robinson Rd,Robinson Rd,1.27990609626764,103.84940030424481,03071,80 Robinson Rd,LTA
03111,Aft Capital Twr,Robinson Rd,1.2778259536079,103.8481011719729,03111,Aft Capital Twr,LTA
03129,UIC Bldg,Shenton Way,1.27807003532092,103.84956718123823,03129,UIC Bldg,LTA
03151,Aft Telok Ayer St,Cecil St,1.27892124625262,103.84776234627124,03151,Aft Telok Ayer St,LTA
03217,Aft Straits Blvd,Shenton Way,1.27552218897645,103.8479443674916,03217,Aft Straits Blvd,LTA
03218,Opp MAS Bldg,Shenton Way,1.2740788888387,103.84687388890413,03218,Opp MAS Bldg,LTA
03222,Hub Synergy Pt,Anson Rd,1.27397836925637,103.84489562922414,03222,Hub Synergy Pt,LTA
03223,Tanjong Pagar Stn Exit C,Anson Rd,1.2757033952327,103.84632468221952,03223,Tanjong Pagar Stn Exit C,LTA
03239,Shenton Way Ter,Shenton Way,1.27464226961973,103.84756721372408,03239,Shenton Way Ter,LTA
03241,Aft Enggor St,Anson Rd,1.27456,103.84537,03241,Aft Enggor St,LTA
03331,Bef Marina Gdns Dr,Marina Blvd,1.27663307202767,103.86076808024792,03331,Bef Marina Gdns Dr,LTA
03339,Aft Marina Gdns Dr,Central Blvd,1.27498516412784,103.85950016250487,03339,Aft Marina Gdns Dr,LTA
