Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,01/09/2025,21389,Opp St. Joseph's Hme,OPP ST. JOSEPH'S HME,Jurong West Ave 2
NAME_CHANGED,01/09/2025,21461,Bef Tukang Innovation Dr,BEF TUKANG INNOVATION DR,Jln Tukang
NAME_CHANGED,01/09/2025,21511,Bef Chin Bee Rd,Opp Amoy Canning,Chin Bee Ave
NAME_CHANGED,01/09/2025,21519,Aft Chin Bee Rd,Amoy Canning,Chin Bee Ave
NAME_CHANGED,01/09/2025,21619,Aft Corp Rd,AFT CORP RD,Corporation Dr
NAME_CHANGED,01/09/2025,21691,Opp Summerdale,OPP SUMMERDALE,Boon Lay Way
NAME_CHANGED,01/09/2025,21699,Summerdale,SUMMERDALE,Boon Lay Way
NAME_CHANGED,01/09/2025,21729,Opp Blk 239A,Opposite Blk 239A,Boon Lay Dr
NAME_CHANGED,01/09/2025,21771,Aft Corp Dr,AFT CORP DR,Yung Ho Rd
NAME_CHANGED,01/09/2025,22061,CEVA Logistics,Ceva Logistics,Jln Buroh
NAME_CHANGED,01/09/2025,22069,Opp CEVA Logistics,Opp Ceva Logistics,Jln Buroh
NAME_CHANGED,01/09/2025,22179,Secura S'pore,Secura S'Pore,Pioneer Rd Nth
NAME_CHANGED,01/09/2025,22329,Opp Sam McCoy Engrg,Opp Sam Mccoy Engrg,Wan Lee Rd
NAME_CHANGED,01/09/2025,22561,Blk 660 CP,Blk 660 Cp,Boon Lay Way
NAME_CHANGED,01/09/2025,24511,Gul Circle Stn Exit A,GUL CIRCLE STN EXIT A,Tuas Rd
NAME_CHANGED,01/09/2025,24519,Gul Circle Stn Exit B,GUL CIRCLE STN EXIT B,Tuas Rd
NAME_CHANGED,01/09/2025,24701,Tuas Cres Stn Exit B,TUAS CRES STN EXIT B,Pioneer Rd
NAME_CHANGED,01/09/2025,24709,Tuas Cres Stn Exit A,TUAS CRES STN EXIT A,Pioneer Rd
NAME_CHANGED,01/09/2025,24711,Tuas West Rd Stn Exit B,TUAS WEST RD STN EXIT B,Pioneer Rd
NAME_CHANGED,01/09/2025,24719,Tuas West Rd Stn Exit A,TUAS WEST RD STN EXIT A,Pioneer Rd
NAME_CHANGED,01/09/2025,25199,Rockwool Bldg Materials,Rockwool Building Materials,Tuas Ave 1
NAME_CHANGED,01/09/2025,25411,Bef Tuas Ter,BEF TUAS TER,Tuas West Dr
NAME_CHANGED,01/09/2025,25421,Opp Tuas Lk Stn,OPP TUAS LINK STN,Tuas West Dr
NAME_CHANGED,01/09/2025,25429,Tuas Lk Stn,TUAS LINK STN,Tuas West Dr
NAME_CHANGED,01/09/2025,25511,Michelman,MICHELMAN,Tuas Ave 12
NAME_CHANGED,01/09/2025,25519,Opp Michelman,OPP MICHELMAN,Tuas Ave 12
NAME_CHANGED,01/09/2025,25531,ST Kinetics,ST KINETICS,Tuas Ave 7
NAME_CHANGED,01/09/2025,25539,Fujifilm,FUJIFILM,Tuas Ave 7
NAME_CHANGED,01/09/2025,25549,CAST Laboratories,CAST LABORATORIES,Tuas Ave 7
NAME_CHANGED,01/09/2025,25559,Lee Welded Mesh,LEE WELDED MESH,Tuas Ave 8
NAME_CHANGED,01/09/2025,25571,Opp West Star,OPP WEST STAR,Tuas Sth Ave 5
NAME_CHANGED,01/09/2025,25579,West Star,WEST STAR,Tuas Sth Ave 5
NAME_CHANGED,01/09/2025,25589,Crown Equipment,CROWN EQUIPMENT,Tuas Ave 8
NAME_CHANGED,01/09/2025,25591,Opp Wyeth Pharmaceuticals,OPP WYETH PHARMACEUTICALS,Tuas Sth Ave 4
NAME_CHANGED,01/09/2025,25599,Wyeth Pharmaceuticals,WYETH PHARMACEUTICALS,Tuas Sth Ave 4
NAME_CHANGED,01/09/2025,25601,Pfizer Global,PFIZER GLOBAL,Tuas Sth Ave 7
NAME_CHANGED,01/09/2025,25609,Merck Sharp & Dohme,MERCK SHARP & DOHME,Tuas Sth Ave 7
NAME_CHANGED,01/09/2025,25611,Opp WestLink Two,OPP WESTLINK TWO,Tuas Sth Ave 7
NAME_CHANGED,01/09/2025,25621,Starburst Engrg,STARBURST ENGRG,Tuas Sth Ave 7
